result_family,dataset,model,hop,PE,beta,num_clients,num_iter,t,alpha,FedProp-Adj,FedProp-Diff,Full-graph,Zero-hop
client_count_ablation,Cora,GCN,1,no,1,1,50,0.1,0.5,80.72 +/- 0.28 (n=5),80.72 +/- 0.28 (n=5),80.72 +/- 0.28 (n=5),
client_count_ablation,Cora,GCN,1,no,1,8,50,0.1,0.5,,,,66.50 +/- 1.71 (n=9)
client_count_ablation,Cora,GCN,1,no,10000,1,50,0.1,0.5,,80.72 +/- 0.28 (n=5),80.72 +/- 0.28 (n=5),80.72 +/- 0.28 (n=5)
client_count_ablation,Cora,GCN,1,no,10000,8,50,0.1,0.5,72.88 +/- 1.23 (n=9),,,
primary_10_client,Amazon-ratings,GCN,1,no,10,10,50,0.1,0.5,38.84 +/- 0.36 (n=9),38.66 +/- 0.49 (n=10),41.16 +/- 0.46 (n=10),35.85 +/- 2.40 (n=8)
primary_10_client,Amazon-ratings,GCN,1,no,10000,10,50,0.1,0.5,40.21 +/- 0.35 (n=10),40.06 +/- 0.42 (n=10),43.27 +/- 0.48 (n=9),37.51 +/- 1.79 (n=10)
primary_10_client,Amazon-ratings,GCN,2,no,10,10,50,0.1,0.5,39.59 +/- 0.38 (n=10),39.25 +/- 0.60 (n=10),41.65 +/- 0.41 (n=10),37.71 +/- 0.36 (n=9)
primary_10_client,Amazon-ratings,GCN,2,no,10000,10,50,0.1,0.5,40.67 +/- 0.39 (n=10),40.47 +/- 0.39 (n=10),43.97 +/- 0.39 (n=10),36.83 +/- 2.00 (n=10)
primary_10_client,Citeseer,GAT,2,no,1,10,50,0.1,0.5,68.00 +/- 1.07 (n=10),63.78 +/- 1.88 (n=10),69.23 +/- 0.87 (n=20),60.04 +/- 0.86 (n=10)
primary_10_client,Citeseer,GAT,2,no,10,10,50,0.1,0.5,64.81 +/- 1.94 (n=10),58.03 +/- 4.98 (n=15),68.75 +/- 1.21 (n=20),56.50 +/- 0.78 (n=10)
primary_10_client,Citeseer,GAT,2,no,10000,10,50,0.1,0.5,65.50 +/- 1.78 (n=10),61.78 +/- 1.89 (n=10),68.30 +/- 0.94 (n=20),57.10 +/- 1.63 (n=25)
primary_10_client,Citeseer,GAT,2,yes,1,10,50,0.1,0.5,69.03 +/- 0.59 (n=20),68.65 +/- 0.74 (n=10),,
primary_10_client,Citeseer,GAT,2,yes,10,10,50,0.1,0.5,65.85 +/- 0.68 (n=20),64.57 +/- 0.89 (n=10),,
primary_10_client,Citeseer,GAT,2,yes,10000,10,50,0.1,0.5,66.62 +/- 1.19 (n=30),65.09 +/- 0.73 (n=10),,
primary_10_client,Citeseer,GCN,1,no,1,10,50,0.1,0.5,66.34 +/- 1.45 (n=10),66.12 +/- 0.98 (n=8),69.85 +/- 0.71 (n=11),61.53 +/- 1.85 (n=3)
primary_10_client,Citeseer,GCN,1,no,10,10,50,0.1,0.5,63.44 +/- 1.09 (n=10),62.85 +/- 1.43 (n=10),69.77 +/- 0.79 (n=15),58.12 +/- 1.93 (n=10)
primary_10_client,Citeseer,GCN,1,no,10000,10,50,0.1,0.5,63.80 +/- 1.54 (n=10),62.62 +/- 1.54 (n=10),69.66 +/- 0.41 (n=11),58.66 +/- 1.57 (n=10)
primary_10_client,Citeseer,GCN,1,yes,1,10,80,1.0,0.5,67.48 +/- 0.88 (n=10),67.46 +/- 0.64 (n=10),,
primary_10_client,Citeseer,GCN,1,yes,10000,10,80,1.0,0.5,65.05 +/- 0.90 (n=10),65.24 +/- 1.06 (n=10),,
primary_10_client,Citeseer,GCN,2,no,1,10,80,1.0,0.5,68.23 +/- 0.45 (n=3),68.73 +/- 1.19 (n=3),70.27 +/- 0.21 (n=6),61.17 +/- 2.26 (n=10)
primary_10_client,Citeseer,GCN,2,no,10000,10,80,1.0,0.5,65.83 +/- 0.55 (n=3),66.90 +/- 0.17 (n=3),69.73 +/- 0.47 (n=6),58.78 +/- 2.60 (n=10)
primary_10_client,Citeseer,GCN,2,yes,1,10,80,1.0,0.5,68.45 +/- 0.77 (n=10),69.09 +/- 0.79 (n=10),,
primary_10_client,Citeseer,GCN,2,yes,10000,10,80,1.0,0.5,66.51 +/- 1.26 (n=10),66.79 +/- 1.21 (n=10),,
primary_10_client,Computers,GCN,2,no,1,10,50,0.1,0.5,78.46 +/- 2.45 (n=15),79.06 +/- 1.79 (n=10),82.88 +/- 3.03 (n=10),83.73 +/- 1.42 (n=15)
primary_10_client,Computers,GCN,2,no,10,10,50,0.1,0.5,74.41 +/- 3.88 (n=15),76.76 +/- 3.35 (n=10),83.49 +/- 3.55 (n=10),81.75 +/- 2.31 (n=15)
primary_10_client,Computers,GCN,2,no,10000,10,50,0.1,0.5,69.83 +/- 9.49 (n=15),74.45 +/- 5.63 (n=10),77.89 +/- 8.13 (n=10),80.92 +/- 2.90 (n=15)
primary_10_client,Cora,GAT,2,no,1,10,50,0.1,0.5,80.18 +/- 0.79 (n=10),76.88 +/- 1.17 (n=10),81.03 +/- 0.69 (n=20),67.17 +/- 0.76 (n=10)
primary_10_client,Cora,GAT,2,no,10,10,50,0.1,0.5,74.83 +/- 1.52 (n=10),70.17 +/- 2.06 (n=10),80.94 +/- 0.84 (n=20),61.45 +/- 0.69 (n=10)
primary_10_client,Cora,GAT,2,no,10000,10,50,0.1,0.5,74.53 +/- 2.36 (n=10),70.42 +/- 1.11 (n=20),81.18 +/- 0.81 (n=20),61.30 +/- 0.81 (n=20)
primary_10_client,Cora,GAT,2,yes,1,10,50,0.1,0.5,81.78 +/- 0.90 (n=10),79.90 +/- 0.65 (n=10),,
primary_10_client,Cora,GAT,2,yes,10,10,50,0.1,0.5,78.03 +/- 1.19 (n=20),75.33 +/- 0.97 (n=10),,
primary_10_client,Cora,GAT,2,yes,10000,10,50,0.1,0.5,77.73 +/- 0.83 (n=40),75.63 +/- 0.86 (n=10),,
primary_10_client,Cora,GCN,1,no,1,10,50,0.1,0.5,76.80 +/- 1.61 (n=15),76.34 +/- 1.09 (n=15),81.05 +/- 0.65 (n=20),65.97 +/- 2.65 (n=25)
primary_10_client,Cora,GCN,1,no,10,10,50,0.1,0.5,73.36 +/- 1.29 (n=10),71.29 +/- 1.40 (n=8),80.19 +/- 0.67 (n=10),61.73 +/- 2.14 (n=29)
primary_10_client,Cora,GCN,1,no,10000,10,50,0.1,0.5,71.59 +/- 1.96 (n=14),69.90 +/- 1.54 (n=25),79.98 +/- 0.62 (n=20),59.80 +/- 1.70 (n=41)
primary_10_client,Cora,GCN,1,yes,1,10,80,1.0,0.5,79.48 +/- 0.88 (n=13),81.38 +/- 0.75 (n=13),,
primary_10_client,Cora,GCN,1,yes,10000,10,80,1.0,0.5,74.29 +/- 0.64 (n=13),75.05 +/- 0.66 (n=13),,
primary_10_client,Cora,GCN,2,no,1,10,80,1.0,0.5,79.58 +/- 0.78 (n=13),79.98 +/- 0.61 (n=13),80.56 +/- 0.44 (n=10),68.21 +/- 1.28 (n=10)
primary_10_client,Cora,GCN,2,no,10000,10,80,1.0,0.5,74.77 +/- 0.60 (n=13),75.08 +/- 0.81 (n=13),80.96 +/- 0.63 (n=10),62.02 +/- 1.70 (n=10)
primary_10_client,Cora,GCN,2,yes,1,10,80,1.0,0.5,81.44 +/- 0.60 (n=13),82.28 +/- 0.61 (n=13),,
primary_10_client,Cora,GCN,2,yes,10000,10,80,1.0,0.5,76.43 +/- 0.65 (n=13),77.34 +/- 0.84 (n=13),,
primary_10_client,Minesweeper,GCN,1,no,1,10,50,0.1,0.5,80.00 +/- 0.00 (n=3),80.00 +/- 0.00 (n=3),80.00 +/- 0.00 (n=2),80.00 +/- 0.00 (n=3)
primary_10_client,Minesweeper,GCN,1,no,10,10,50,0.1,0.5,80.00 +/- 0.01 (n=13),80.00 +/- 0.01 (n=13),80.11 +/- 0.52 (n=13),79.99 +/- 0.03 (n=13)
primary_10_client,Minesweeper,GCN,1,no,10000,10,50,0.1,0.5,80.00 +/- 0.00 (n=13),80.00 +/- 0.00 (n=13),80.04 +/- 0.65 (n=13),80.00 +/- 0.01 (n=13)
primary_10_client,Minesweeper,GCN,2,no,10,10,50,0.1,0.5,80.00 +/- 0.02 (n=20),80.00 +/- 0.01 (n=20),79.92 +/- 0.17 (n=20),79.99 +/- 0.04 (n=20)
primary_10_client,Minesweeper,GCN,2,no,10000,10,50,0.1,0.5,80.00 +/- 0.00 (n=19),80.00 +/- 0.00 (n=18),79.73 +/- 0.22 (n=20),80.00 +/- 0.00 (n=20)
primary_10_client,Photo,GCN,2,no,1,10,50,0.1,0.5,86.79 +/- 3.05 (n=10),85.83 +/- 2.72 (n=10),90.59 +/- 1.54 (n=10),90.58 +/- 1.56 (n=10)
primary_10_client,Photo,GCN,2,no,10,10,50,0.1,0.5,79.87 +/- 6.31 (n=10),85.11 +/- 3.02 (n=10),90.66 +/- 1.45 (n=10),90.03 +/- 1.76 (n=10)
primary_10_client,Photo,GCN,2,no,10000,10,50,0.1,0.5,81.32 +/- 6.19 (n=10),79.12 +/- 6.25 (n=10),84.68 +/- 14.38 (n=10),89.24 +/- 1.35 (n=10)
primary_10_client,Pubmed,GAT,2,no,1,10,50,0.1,0.5,71.94 +/- 0.42 (n=10),71.32 +/- 2.56 (n=10),71.19 +/- 1.91 (n=40),63.89 +/- 2.27 (n=17)
primary_10_client,Pubmed,GAT,2,no,10,10,50,0.1,0.5,77.34 +/- 0.95 (n=10),75.64 +/- 0.95 (n=10),78.83 +/- 1.26 (n=50),67.47 +/- 0.55 (n=10)
primary_10_client,Pubmed,GAT,2,no,10000,10,50,0.1,0.5,79.36 +/- 0.63 (n=10),75.59 +/- 1.20 (n=13),78.32 +/- 0.45 (n=50),64.35 +/- 1.20 (n=20)
primary_10_client,Pubmed,GAT,2,yes,1,10,50,0.1,0.5,74.84 +/- 0.87 (n=60),74.24 +/- 0.93 (n=50),,
primary_10_client,Pubmed,GAT,2,yes,10,10,50,0.1,0.5,77.80 +/- 0.78 (n=70),78.16 +/- 0.77 (n=50),,
primary_10_client,Pubmed,GAT,2,yes,10000,10,50,0.1,0.5,78.68 +/- 0.58 (n=80),78.55 +/- 0.66 (n=50),,
primary_10_client,Pubmed,GCN,1,no,1,10,50,0.1,0.5,75.39 +/- 3.02 (n=30),73.92 +/- 3.52 (n=18),75.01 +/- 2.81 (n=20),
primary_10_client,Pubmed,GCN,1,no,10,10,50,0.1,0.5,77.85 +/- 1.38 (n=30),75.75 +/- 1.46 (n=10),77.82 +/- 1.93 (n=20),73.51 +/- 1.63 (n=10)
primary_10_client,Pubmed,GCN,1,no,10000,10,50,0.1,0.5,77.42 +/- 1.30 (n=20),75.35 +/- 1.81 (n=10),77.94 +/- 1.17 (n=20),69.37 +/- 3.37 (n=19)
primary_10_client,Pubmed,GCN,1,yes,10,10,80,1.0,0.5,79.23 +/- 0.74 (n=10),79.64 +/- 0.70 (n=10),,
primary_10_client,Pubmed,GCN,1,yes,10000,10,80,1.0,0.5,78.80 +/- 0.67 (n=10),79.11 +/- 0.53 (n=10),,
primary_10_client,Pubmed,GCN,2,no,10,10,80,1.0,0.5,76.93 +/- 0.40 (n=3),75.97 +/- 0.47 (n=3),77.98 +/- 0.92 (n=10),74.47 +/- 0.75 (n=10)
primary_10_client,Pubmed,GCN,2,no,10000,10,80,1.0,0.5,80.20 +/- 0.53 (n=3),79.80 +/- 0.87 (n=3),77.62 +/- 1.45 (n=10),73.76 +/- 1.15 (n=10)
primary_10_client,Pubmed,GCN,2,yes,10,10,80,1.0,0.5,79.38 +/- 1.70 (n=10),80.19 +/- 1.55 (n=10),,
primary_10_client,Pubmed,GCN,2,yes,10000,10,80,1.0,0.5,79.89 +/- 0.85 (n=10),80.19 +/- 0.49 (n=10),,
primary_10_client,Roman-empire,GCN,1,no,10,10,50,0.1,0.5,53.22 +/- 0.44 (n=10),53.92 +/- 0.35 (n=9),34.48 +/- 0.33 (n=10),54.81 +/- 0.52 (n=10)
primary_10_client,Roman-empire,GCN,1,no,10000,10,50,0.1,0.5,54.25 +/- 0.34 (n=10),54.93 +/- 0.37 (n=10),36.10 +/- 0.60 (n=9),55.71 +/- 0.33 (n=10)
primary_10_client,Roman-empire,GCN,2,no,10,10,50,0.1,0.5,52.28 +/- 0.18 (n=10),53.87 +/- 0.30 (n=10),24.71 +/- 0.37 (n=10),54.82 +/- 0.31 (n=10)
primary_10_client,Roman-empire,GCN,2,no,10000,10,50,0.1,0.5,53.75 +/- 0.25 (n=9),55.29 +/- 0.35 (n=9),25.20 +/- 0.42 (n=10),55.27 +/- 0.17 (n=10)
primary_10_client,Texas,GCN,1,no,10,10,50,0.1,0.5,74.46 +/- 2.05 (n=20),74.86 +/- 1.27 (n=20),62.16 +/- 3.51 (n=20),72.43 +/- 1.11 (n=20)
primary_10_client,Texas,GCN,1,no,10000,10,50,0.1,0.5,72.97 +/- 5.02 (n=19),79.46 +/- 2.22 (n=20),64.30 +/- 3.20 (n=19),75.83 +/- 0.64 (n=18)
primary_10_client,Texas,GCN,2,no,10,10,50,0.1,0.5,73.65 +/- 3.49 (n=20),72.97 +/- 0.00 (n=19),62.03 +/- 1.85 (n=20),72.30 +/- 1.20 (n=20)
primary_10_client,Texas,GCN,2,no,10000,10,50,0.1,0.5,75.68 +/- 5.04 (n=20),77.43 +/- 2.01 (n=20),63.78 +/- 4.06 (n=20),75.81 +/- 0.60 (n=20)
primary_10_client,Wisconsin,GCN,1,no,10,10,50,0.1,0.5,74.71 +/- 2.00 (n=20),77.84 +/- 1.44 (n=20),44.61 +/- 2.28 (n=20),75.88 +/- 1.29 (n=20)
primary_10_client,Wisconsin,GCN,1,no,10000,10,50,0.1,0.5,70.69 +/- 1.19 (n=20),72.75 +/- 1.41 (n=20),48.73 +/- 2.32 (n=20),70.00 +/- 1.12 (n=20)
primary_10_client,Wisconsin,GCN,2,no,10,10,50,0.1,0.5,75.78 +/- 1.94 (n=20),77.45 +/- 1.49 (n=20),49.12 +/- 1.53 (n=19),75.85 +/- 1.61 (n=19)
primary_10_client,Wisconsin,GCN,2,no,10000,10,50,0.1,0.5,73.04 +/- 1.79 (n=20),75.69 +/- 0.99 (n=20),51.39 +/- 2.02 (n=19),69.80 +/- 1.33 (n=20)
primary_10_client,ogbn-arxiv,GCN,1,no,1,10,50,0.1,0.5,71.64 +/- 0.83 (n=5),72.14 +/- 0.52 (n=5),71.14 +/- 0.56 (n=5),64.77 +/- 0.15 (n=5)
primary_10_client,ogbn-arxiv,GCN,1,no,10000,10,50,0.1,0.5,67.73 +/- 1.52 (n=5),67.52 +/- 1.80 (n=5),70.35 +/- 0.81 (n=5),59.38 +/- 0.31 (n=5)
primary_10_client,ogbn-arxiv,GCN,1,yes,1,10,50,0.1,0.5,70.78 +/- 0.35 (n=5),69.81 +/- 1.48 (n=5),,
primary_10_client,ogbn-arxiv,GCN,1,yes,10000,10,50,0.1,0.5,67.31 +/- 0.77 (n=5),66.88 +/- 1.52 (n=5),,
primary_10_client,ogbn-arxiv,GCN,2,no,1,10,80,1.0,0.5,69.90 +/- 0.67 (n=30),69.57 +/- 0.75 (n=10),65.00 +/- 0.85 (n=11),64.00 +/- 0.15 (n=10)
primary_10_client,ogbn-arxiv,GCN,2,no,10000,10,80,1.0,0.5,67.81 +/- 0.60 (n=30),67.33 +/- 0.65 (n=10),69.41 +/- 0.23 (n=11),58.79 +/- 0.18 (n=10)
primary_10_client,ogbn-arxiv,GCN,2,yes,1,10,80,1.0,0.5,62.96 +/- 1.54 (n=10),61.85 +/- 2.91 (n=10),,
primary_10_client,ogbn-arxiv,GCN,2,yes,10000,10,80,1.0,0.5,62.58 +/- 1.30 (n=10),62.95 +/- 1.56 (n=10),,
